"name","year","count"
"ANDREW","2014","1"
"COOBY","2014","1"
"JOCKI","2014","1"
"T.J.","2014","1"
"TOMMY","2014","1"
"BRADLEY","2014","1"
"APPLE","2014","1"
"BROOKE","2014","1"
"FRANCESCA","2014","1"
"EMMY","2014","1"
"ABBY","2014","1"
"JERRY","2014","1"
"SCRUFFY","2014","1"
"BISCUIT","2014","1"
"GUNNY","2014","1"
"SAMPSON","2014","1"
"LYLA","2014","1"
"DULCINEA","2014","1"
"OONA","2014","1"
"DELFI","2014","1"
"ERNIE","2014","1"
"IVY","2014","1"
"MOJEAU","2014","1"
"CATO","2014","1"
"UNKNOWN","2015","1159"
"NAME NOT PROVIDED","2015","948"
"MAX","2015","368"
"BELLA","2015","344"
"ROCKY","2015","252"
"COCO","2015","246"
"CHARLIE","2015","240"
"LUCY","2015","236"
"LOLA","2015","229"
"LUCKY","2015","194"
"DAISY","2015","190"
"PRINCESS","2015","187"
"BUDDY","2015","184"
"TEDDY","2015","148"
"TOBY","2015","141"
"CHLOE","2015","141"
"BAILEY","2015","141"
"JACK","2015","136"
"MOLLY","2015","135"
"LUNA","2015","132"
"STELLA","2015","128"
"LILY","2015","127"
"MILO","2015","125"
"OLIVER","2015","124"
"SOPHIE","2015","119"
"PENNY","2015","115"
"OREO","2015","113"
"LADY","2015","112"
"MIA","2015","112"
"MAGGIE","2015","110"
"GIZMO","2015","106"
"COOPER","2015","96"
"RUBY","2015","95"
"LULU","2015","94"
"SHADOW","2015","92"
"PRINCE","2015","91"
"SADIE","2015","91"
"LEO","2015","89"
"BRUNO","2015","89"
"GINGER","2015","88"
"BEAR","2015","88"
"RILEY","2015","87"
"BUSTER","2015","86"
"KING","2015","83"
"BABY","2015","83"
"ZOE","2015","82"
"OSCAR","2015","82"
"ZEUS","2015","81"
"BLUE","2015","79"
"SAMMY","2015","77"
"ROXY","2015","77"
"ROSIE","2015","76"
"ZOEY","2015","75"
"JAKE","2015","75"
"SASHA","2015","74"
"CODY","2015","74"
"N/A","2015","73"
"HENRY","2015","72"
"COOKIE","2015","72"
"LOUIE","2015","69"
"PEANUT","2015","69"
"BROOKLYN","2015","69"
"BENTLEY","2015","67"
"DIAMOND","2015","66"
"WINSTON","2015","65"
"PEPPER","2015","64"
"DEXTER","2015","64"
"BENJI","2015","63"
"REX","2015","62"
"HARLEY","2015","61"
"MICKEY","2015","60"
"JASPER","2015","59"
"SPARKY","2015","59"
"SCOUT","2015","58"
"JACKSON","2015","58"
"ROMEO","2015","58"
"GRACIE","2015","57"
"DUKE","2015","57"
"FRANKIE","2015","56"
"MARLEY","2015","56"
"ROCCO","2015","56"
"TYSON","2015","56"
"MISSY","2015","55"
"SAM","2015","54"
"JAX","2015","54"
"EMMA","2015","54"
